Lat,Lon
-71.7255089651775,-8.59819980994702
-71.725670172845,-8.59845002702144
-71.7258313801852,-8.59870024835454
-71.725992587198,-8.59895047394643
-71.7261537938835,-8.59920070379723
-71.7263150002416,-8.599450937907
-71.7264762062724,-8.59970117627591
-71.7266374119758,-8.59995141890402
-71.7267986173517,-8.60020166579143
-71.7269598224003,-8.6004519169383
-71.7271210271215,-8.60070217234468
-71.7272822315153,-8.60095243201068
-71.7274434355816,-8.60120269593643
-71.7276046393205,-8.60145296412204
-71.7277658427319,-8.60170323656759
-71.7279270458159,-8.60195351327321
-71.7280882485724,-8.60220379423898
-71.7282494510015,-8.60245407946502
-71.7284106531031,-8.60270436895143
-71.7285718548771,-8.60295466269834
-71.7287330563237,-8.60320496070581
-71.7288942574427,-8.60345526297399
-71.7290554582343,-8.60370556950297
-71.7292166586983,-8.60395588029287
-71.7293778588348,-8.60420619534375
-71.7295390586437,-8.60445651465576
-71.7297002581251,-8.60470683822899
-71.7298614572789,-8.60495716606355
-71.7300226561051,-8.60520749815953
-71.7301838546038,-8.60545783451705
-71.7303450527748,-8.60570817513622
-71.7305062506183,-8.60595852001714
-71.7306674481341,-8.60620886915993
-71.7308286453223,-8.60645922256467
-71.7309898421829,-8.60670958023146
-71.7311510387158,-8.60695994216045
-71.7313122349211,-8.60721030835171
-71.7314734307988,-8.60746067880534
-71.7316346263488,-8.60771105352148
-71.7317958215711,-8.6079614325002
-71.7319570164657,-8.60821181574164
-71.7321182110326,-8.60846220324588
-71.7322794052718,-8.60871259501302
-71.7324405991833,-8.6089629910432
-71.7326017927671,-8.60921339133651
-71.7327629860231,-8.60946379589303
-71.7329241789514,-8.60971420471289
-71.733085371552,-8.60996461779621
-71.7332465638248,-8.61021503514308
-71.7334077557698,-8.61046545675359
-71.7335689473871,-8.61071588262786
-71.7337301386766,-8.61096631276601
-71.7338913296382,-8.6112167471681
-71.7340525202721,-8.61146718583431
-71.7342137105781,-8.61171762876469
-71.7343749005564,-8.61196807595934
-71.7345360902067,-8.6122185274184
-71.7346972795293,-8.61246898314196
-71.734858468524,-8.61271944313014
-71.7350196571908,-8.61296990738302
-71.7351808455298,-8.61322037590073
-71.7353420335409,-8.61347084868335
-71.7355032212241,-8.61372132573102
-71.7356644085794,-8.61397180704381
-71.7358255956069,-8.61422229262185
-71.7359867823063,-8.61447278246522
-71.7361479686779,-8.61472327657406
-71.7363091547215,-8.61497377494846
-71.7364703404372,-8.61522427758853
-71.7366315258249,-8.61547478449438
-71.7367927108847,-8.61572529566609
-71.7369538956165,-8.6159758111038
-71.7371150800203,-8.61622633080759
-71.7372762640961,-8.61647685477757
-71.737437447844,-8.61672738301386
-71.7375986312638,-8.61697791551656
-71.7377598143556,-8.61722845228575
-71.7379209971194,-8.61747899332159
-71.7380821795551,-8.61772953862414
-71.7382433616629,-8.61798008819353
-71.7384045434425,-8.61823064202985
-71.7385657248941,-8.61848120013322
-71.7387269060176,-8.61873176250373
-71.738888086813,-8.6189823291415
-71.7390492672804,-8.61923290004663
-71.7392104474197,-8.61948347521923
-71.7393716272308,-8.61973405465939
-71.7395328067138,-8.61998463836725
-71.7396939858687,-8.62023522634288
-71.7398551646954,-8.62048581858641
-71.740016343194,-8.62073641509792
-71.7401775213645,-8.62098701587754
-71.7403386992068,-8.62123762092538
-71.7404998767209,-8.62148823024153
-71.7406610539068,-8.6217388438261
-71.7408222307646,-8.62198946167919
-71.7409834072941,-8.62224008380092
-71.7411445834954,-8.62249071019137
-71.7413057593685,-8.62274134085069
-71.7414669349134,-8.62299197577895
-71.7416281101301,-8.62324261497626
-71.7417892850185,-8.62349325844276
-71.7419504595786,-8.62374390617849
-71.7421116338105,-8.62399455818362
-71.7422728077141,-8.62424521445821
-71.7424339812894,-8.62449587500241
-71.7425951545364,-8.62474653981629
-71.7427563274551,-8.62499720889996
-71.7429175000456,-8.62524788225356
-71.7430786723076,-8.62549855987714
-71.7432398442414,-8.62574924177087
-71.7434010158468,-8.6259999279348
-71.7435621871239,-8.62625061836907
-71.7437233580726,-8.62650131307377
-71.7438845286929,-8.62675201204898
-71.7440456989849,-8.62700271529488
-71.7442068689485,-8.62725342281153
-71.7443680385837,-8.62750413459903
-71.7445292078905,-8.62775485065748
